         :::::,       0               ,5               ,9               ,12              ,13              ,16              ,23              ,36              ,37              ,39              ,45              
                     ,kehua           ,kehu            ,kehut           ,kehuu           ,kehuta          ,kehunee         ,kehui           ,kehuttu         ,kehuen          ,kehuisi         ,kehuma          
                     ,V Inf1 Lat      ,V Impv Act Sg2  ,V Prs Act Sg2   ,V Prs Act Sg3   ,V Prs Pass ConNe,V Pot Act Sg3   ,V Pst Act Sg3   ,V Pst Pass ConNe,V Inf2 Act Ins  ,V Cond Act Sg3  ,AgPrc Pos Nom Sg
                     ,a              ,                ,t               ,                ,a               ,ee              ,i               ,tu              ,en              ,isi             ,ma              
52  ;sanoa           ,               ,                ,                ,_               ,t               ,n               ,                ,t               ,                ,                ,                
53  ;sulaa           ,a              ,a               ,a               ,aa              ,et              ,an              ,                ,et              ,a               ,a               ,a               
54  ;huutaa          ,a              ,a               ,a               ,aa              ,et              ,an              ,s*              ,et              ,a               ,a               ,a               
55  ;soutaa          ,a              ,a               ,a               ,aa              ,et              ,an              ,s*              ,et              ,a               ,a               ,a               
56  ;jauhaa          ,a              ,a               ,a               ,aa              ,et              ,an              ,o               ,et              ,a               ,a               ,a               
57  ;kaataa          ,a              ,a               ,a               ,aa              ,et              ,an              ,s*               ,et              ,a               ,a               ,a               
58  ;laskea          ,e              ,e               ,e               ,ee              ,et              ,en              ,                ,et              ,i               ,                ,e               
59  ;tuntea          ,e              ,e               ,e               ,ee              ,et              ,en              ,s*              ,et              ,i               ,                ,e               
60  ;lähteä          ,e              ,e               ,e               ,ee              ,et              ,en              ,                ,et              ,i               ,                ,e               
61  ;kolhia          ,i              ,i               ,i               ,ii              ,it              ,in              ,                ,it              ,i               ,                ,i               
62  ;naida           ,d              ,                ,                ,                ,d               ,n               ,-               ,                ,d               ,-               ,                
63  ;saada           ,d              ,                ,                ,                ,d               ,n               ,-               ,                ,d               ,-               ,                
64  ;viedä           ,d              ,                ,                ,                ,d               ,n               ,--               ,                ,d              ,--               ,                
65  ;käydä           ,ud             ,u               ,u               ,u               ,uda             ,un              ,v               ,u               ,ud              ,v               ,u                
66  ;päästä          ,st             ,se              ,se              ,see             ,sta             ,ss              ,s               ,s               ,st             ,s               ,se              
67  ;puhella         ,*              ,e               ,e               ,ee              ,*a              ,*               ,                ,                ,*a              ,                ,e               
68  ;aterioida       ,d              ,tse             ,tse             ,tsee            ,da              ,n               ,ts              ,                ,d              ,ts              ,tse             
69  ;vangita         ,t              ,tse             ,tse             ,tsee            ,ta              ,nn              ,ts              ,t               ,t              ,ts              ,tse             
70  ;juosta          ,st             ,kse             ,kse             ,ksee            ,sta             ,ss              ,ks              ,s               ,st             ,ks              ,kse             
71  ;nähdä           ,hd             ,e               ,e               ,kee             ,hda             ,hn              ,               ,h               ,hd             ,k               ,ke               
72  ;vanheta         ,t              ,ne              ,ne              ,nee             ,ta              ,nn              ,n               ,t               ,t              ,n               ,ne              
73  ;niiata          ,t              ,a               ,a               ,a               ,ta              ,nn              ,s               ,t               ,t              ,                ,a               
74  ;katketa         ,t              ,a               ,a               ,aa              ,ta              ,nn              ,s               ,t               ,t              ,a               ,a               
75  ;nimetä          ,t              ,a               ,a               ,aa              ,ta              ,nn              ,s               ,t               ,t              ,a               ,a               
76  ;taitaa          ,a              ,a               ,a               ,aa              ,et              ,an              ,s*              ,et              ,a              ,a               ,a               
77  ;kumajaa         ,aja            ,!               ,!               ,ajaa            ,!               ,!               ,aj              ,!               ,!               ,aja             ,!               
78  ;kaikaa          ,a              ,!               ,!               ,aa              ,aa              ,!               ,!               ,!               ,aa              ,a               ,!               
